label,article
0," Isang nakakaantig na kwento ng pagmamahal at suporta ang nag-viral kamakailan sa Facebook. Ito'y tungkol sa dalawang mapagmahal na mga tita, na tinatawag na ""Tita,"" at ang kanilang napakagenerosong regalo sa kanilang pamangkin na nagkakahalaga ng 100,000 piso bilang pagbati sa kanyang pagtatapos. Kuwento ni Tita Sheila, isa sa mga tita, ang nasa likod ng kanilang kahanga-hangang regalo. Ipinaliwanag niya na delikado ang kanyang pagbubuntis sa kanyang unang anak, at nais nilang iwasan ang anumang dagdag na stress sa paghahanda. Bago pa man ang araw ng pagtatapos ng kanilang pamangkin, mayroon na palang pangako ng perang kuwintas na nais siyang magkaroon. Hindi nila siya pinansin hanggang sa araw ng kanyang pagtatapos, at lalo pang higit sa inaasahan niya ang kanilang inihanda. Si Justin ay iisang anak lamang ng kanyang ina na nasa ibang bansa. Noong araw ng pagtatapos, nagulat si Justin sa di-inaasahang at nakakataba ng puso nilang sorpresa. Ang kuwintas na inihanda nila ay malayo sa kanyang inaasahan. Nabanggit ni Justin sa kanyang Tita na gagamitin niya ito para sa kanyang savings at emergency fund, pati na rin para sa kanyang OFW na ina. Matagal na rin daw nag-iipon si Justin mula sa kanyang baon, sapagkat alam niyang hindi palaging mayroon sila. ""Natupad ang kahilingan mo! Binabati kita, Justin Lee Enad! Kahit walang medalya, basta may 100k!"" sabi ni Tita Sheila sa kanyang Facebook post. ""Lagi mong tatandaan na mahal ka ni Tita kahit na pilyo ka,"" dagdag pa niya. ""Mahal na mahal ka ni Mama Mariestehla Enad. Mas malaking tagumpay pa ang makukuha mo sa hinaharap basta maging mabait ka lang. #ProudTitaHere."""
0,"Sa mundo ng social media, napakadaling magpakalat ng mga salita, banta, at kritisismo. Madalas, ang mga ito ay nagdudulot ng mga kaguluhan at hindi magandang epekto sa tao at sa komunidad. Kaya naman, mahalagang mag-ingat tayo sa mga pinagsasabi natin lalo na kung ito ay laban sa isang kilalang personalidad tulad ni Michael V. Sa isang viral na video, nakita natin ang pagbabanta ni Rendon Labador kay Michael V. Sa video, sinabi niya ang kanyang mga hinanakit laban sa sikat na artista at ang kanyang mga proyekto. Gayunpaman, hindi nagustuhan ng BITAG host at producer na si Ben Tulfo ang ginawang ito ni Rendon at naglabas ng kanyang kritisismo. Sa kanyang mga pahayag, sinabi ni Ben Tulfo na hindi porke't sikat na personalidad ang ibig sabihin ay pwede nang banggitin ang pangalan nila sa negatibong paraan. Bilang isang media personality, nagbibigay siya ng halimbawa sa pamamagitan ng pagpapakita ng pag-iingat sa mga salita na ginagamit niya sa publiko. Kailangan maunawaan na may mga tao sa media at showbiz industry na nakakatanggap ng malawak na paghanga at pagmamahal mula sa mga tagahanga. Kaya naman, hindi ito dapat ginagamit para magpasikat o manira ng kapwa. Mayroong mga tao sa industriya na may magandang hangarin sa kanilang mga proyekto at hindi dapat silang binabalahura o inaabuso sa anumang paraan. Hindi rin dapat ginagamit ang social media bilang paraan upang magbanta o maglabas ng hindi magandang salita laban sa ibang tao. Hindi dapat ginagamit ang platform na ito upang magpakalat ng kaguluhan at hindi makatwiran na mga pahayag. Mahalaga na sa bawat salita na binibitiwan, mayroong pag-iingat at pagtitiyaga sa pagpapakalat ng tamang mensahe. Ang pagiging responsable sa ating mga pananalita ay hindi lamang para sa atin, kundi para sa kapakanan ng mga taong nakapaligid sa atin. Sa huli, ang mensahe ni Ben Tulfo ay hindi lamang upang pagalitan si Rendon Labador, kundi upang magbigay ng paalala sa ating lahat na magpakalat ng paggalang at pagpapakita ng mabuting halimbawa sa publiko. Ang mga salita ay may bisa at hindi ito dapat ginagamit upang makapanakit ng ibang tao. Kaya naman, mag-ingat tayo sa ating mga pananalita at magpakita ng respeto sa lahat ng mga tao sa ating paligid. “Sinasabi ko lang, maghinay-hinay ka sa banta mo at binibitaw mo against Michael V. Napakatalinong taong yan walang tinatapakang tao yan at maraming humahanga at nagmamahal sa fans niya tapos gaganyanin at babastusin mo lang sa vlog, eh ikaw kaya ang ganyanin ko, anong pakiramdam mo dun, huh? Alam mo si Michael V. Kaibigan at kumpare ko yan inaanak ko yung unica hija niya at maayos siya nagpapaalam sa akin kung gusto nyang gayahin ang programa ko upang gawin ang parody version sa comedy show sitcom niyang #BubbleGang na halos tatlong dekada nang namamayagpag sa telebisyon at palagi niyang nababanggit ang BITAG, ginawa niyang ‘Sumbong-sumbong, Kay bonggang bongga Bongbong’. Alam mo gusto mo lang kumita sa video para yumaman ka kaya lang napaka hambog mong tao ka eh, hehe tao ka nga ba talaga huh rendon o sadyang yang utak mo may putok sa buho! Kung pwede nga lang ako mismo ang titira sa’yo ng ganyan, eh. Read my lips!”, pagtatapos ni Ben Tulfo."
0,"Sa loob ng 17 taon, naging saksi ang Pinoy Big Brother House sa iba't ibang mga pangyayari at kaganapan sa loob ng loob ng showbiz industry. Ngunit, ngayon ay nagsisimula na ang demolition ng kalahati ng nasabing bahay na matatagpuan sa Scout Albano Street na ngayo'y Eugenio Lopez Drive, Diliman, Quezon City. Ayon kay Direk Laurenti Dyogi, Head ng ABS-CBN TV Production at Star Magic, nagbigay ito ng maraming magandang alaala at kahit nakakatakot na karanasan sa kanila sa loob ng mga nakalipas na taon. Ito ay nagsilbing tahanan ng kanilang mga opisina, brainstorming space, pantry, hosts' dressing rooms, mini studio na mayroong control room at mga living quarters lalo na sa mga nakaraang 'lock-in seasons' ng programa. Sa kabila ng mga magagandang alaala sa bahay na ito, kinakailangan na itong bitawan ng Kapamilya network dahil magtatapos na ang kanilang lease contract sa lugar na ito. Ito ay naging bahagi ng programa mula pa sa unang season ng Pinoy Dream Academy noong 2006. Bukod sa Pinoy Big Brother, marami pang mga programa ng ABS-CBN ang naging bahagi ng nasabing bahay. Hindi maikakaila na ito ay naging isang bahagi na rin ng buhay ng mga manonood at kalahok ng mga programa ng Kapamilya network. Ngunit, hindi naman ito ang katapusan ng mga programa ng ABS-CBN. Tuloy pa rin ang mga proyekto at programa ng network sa kabila ng mga pagsubok na kanilang kinakaharap. Sa kabila ng lahat, nakakaantig pa rin ang pagkawala ng isang bahagi ng kasaysayan ng showbiz industry sa bansa. Sana'y mas marami pang mga alaala at karanasan na mabuo sa mga susunod pang mga programa na magiging bahagi ng kasaysayan ng ating bansa."
0,"""KAKA-SELPON MO YAN!"" Ito ang madalas lumabas sa bibig ng mga magulang tuwing nagkakamali, nagkakaroon ng pagkukulang o nakakakuha ng mababang marka sa eskwela. Pero sa pagkakataong ito ay ginawang parusa ng isang tatay ang kinahuhumalingang video games sa cellphone ng kanyang anak. Dahil imbis na pigilan ay pinuwersa niya itong maglaro hanggang sa ito'y masuka. Nahuli ng isang ama na kinilalang si Huang na pasikretong naglalaro ang kanyang 11 taong gulang na anak ng mobile games bandang ala una ng madaling araw. Binidyo pa nito ang parusa sa anak at ibinahagi sa Douyin na mabilis din namang nag-viral sa mga lokal na pahayagan at social media. Balak nito na paglaruin ng 24 oras ang bata ng walang pahinga! Bandang 7:30 ng umaga ay gising na gising pa at tila nag-eenjoy sa paglalaro ang kanyang anak, dahilan para abisuhan ni Huang ang guro nito at sabihang hindi na muna papasok ang bata. 1:30 ng tanghali ay hindi na napigilan ng bata ang pagod at puyat kaya nakatulugan na nito ang kanyang paglalaro. Labing dalawang oras na paglalaro pero hindi pa dito natatapos ang kanyang kalbaryo. Ginambala ni Huang ang mahimbing na sanang tulog ng anak at sinabihan ito na ipagpatuloy lang ang kanyang paglalaro na siyang sinunod naman ng mala- lantang gulay na bata. Matapos ang mahigit 17 oras (6:30 ng hapon), naglabas ng puting bandera ang bata at sumuko sa hamon ng ama. Humingi ito ng kapatawaran at nangakong hindi na maglalaro ng mobile games kapag oras na ng tulugan. Nagkaroon ng kasulatan at nagkasundo naman ang mag-ama matapos nilang mag-usap. Na-alarma man ang karamihan sa mga netizens sa naging paraan ng pagdidisiplina ng ama, nilinaw naman ni Huang na masunirin naman ang kanyang anak at ito'y pagbibigay lang ng leksyon. Siniguro rin nito na nasa hustong pangangatawan ang anak para kayanin ang parusa at hindi iminumungkahi na gayahin ng ibang mga magulang ang kanyang sariling pamamaraan."
0,"Sa tuwing sasapit ang kaarawan ng mga anak, abala at talaga namang pinaghahandaan ito ng mga magulang. Nariyan ang kanilang mga gayak tulad ng isang engrandeng party para sa mga bata. Ngunit sa panahon ngayon na madalas ay busy na ang mga magulang sa kani-kanilang trabaho, ay kumukuha na lamang ng party organizers or event planner and coordinator na siyang mag-aasikaso ng lahat upang makabawas na rin sa aasikasuhin at pagod ng celebrants. Ngunit paano kung sa araw mismo ng kaarawan ng iyong anak ay biglang nagkaroon ng problema sa event planner na inyong inarkila? Paano kung ang engrandeng party na pangarap ng inyong anak ay hindi niyo naibigay sa araw ng kanyang kaarawan dahil hindi kayo sinipot ng event planner-coordinator na pinagkatiwalaan niyo? Sa kasawiang-palad ay nangyari ito sa pamilya ni Liz Dominguez Santos, kaya naman sa kanyang pagkadismaya ay kanyang ibinahagi sa social media ang hindi magandang karanasan sa isang event planner-coordinator na kanilang na-booked online na sila sanang magproprovide ng birthday party package kasama ang 'clown', palaro at pabitin na hiling ng kanilang nag-iisang anak. Ayon kay Liz, ibinahagi niya ang pangyayaring iyon para ma-inform at mabigyan ng babala ang netizens upang hindi na maulit pa ang panloloko diumano ng mga ito sa iba. ""SCAM ALERT!!! wag kayo papaloko na dito!"", aniya. Ibinahagi rin ni Liz ang screenshots ng kanilang naging pag-uusap ng event planner upang patunay sa panlolokong ginawa ng mga ito sa kanila, kung saan makikita na hindi na sinasagot ng naturang event planner ang kanyang mga mensahe noong araw ng kaarawan ng kanyang anak. Hanggang sa natapos ang kaarawan ay hindi siya diumano sinagot ng mga ito kung ano nga ba ang tunay na nangyari. Narito ang full post Liz: ""SCAM ALERT!!! wag kayo papaloko na dito! AP Event Planner-Coordinator maayos akong kausap simula nung naginquire ako hanggang sa nagsend ako ng deposit na hiningi nyo..ilang beses akong nagremind para sa date at time ng party ng anak ko at nagconfirm pa kayo!..pero sa mismong araw ng party ng anak ko sa dami kong mesaage sa inyo, wala ni isa kayong nireplyan! Ayun nga at di kayo sumipot o kahit man lang tawag, txt o pm na explanation kung bakit di kayo nakapunta wala!!!..simula kahapon hanggang ngayon nagppm ako, wala kayong sagot!..ayoko magpopost ng mga ganito pero inubos nyo na pasensya ko!..expected ng anak ko at excited sya (sinabi ko din sa inyo un) na may clown sya sa bday party nya pero di kayo dumating!! Paki report po ng page nila para wala na silang maloko pang iba!"""
0,"Ayon kay Liza, nagkaroon siya dati ng tatlong managers, si Ogie Diaz, ang first cousin ng kanyang dad na si Joni Lyn Castillo-Pillarina, at Star Magic, bago ang kanyang rebranding kamakailan. Ani Liza, ""I really don't like talking about commissions because it's a private financial matter. But people were accusing Tito Ogie of taking 40% from me. I want to clarify na hindi po yon totoo,"" Sabi ng aktres, hanggang 2015-2016, nakakuha si Ogie ng 30% na komisyon, ang kanyang Tita Joni ay 20% at ang Star Magic sa 10%, at naiwan sa kanya ang 40% lamang ng kanyang kinita."
0,"Dismayado ang isang mamimili matapos harangin at hindi palabasin ng guwardiya ng isang grocery store sa Muntinlupa. Wala naman daw siyang kinuha o ninakaw pero kahit inirereklamo na nito ang kumakalan niyang sikmura at kinakailangan ng umuwi dahil sa gutom ay ayaw pa rin siyang pauwiin hanggat hindi niya inilalabas ang lahat ng laman ng kanyang bag. ""Pinagbintangan ako nang Puregold Muntinlupa na may nilagay sa bag ko at ayaw akong pauwiin kahit gutom na ako hangang di nakikita ang lahat nang nasa bag ko sa huli napahiya sila.Laging nasa puso ko ang sinabi nang lolo ko na si Felino Neri Sr. na ""I may not leave you millions but a good name is worth more than money,take care of it INTEGRITY.HONESTY.FAiTH""  Isang walang lamang botelya ng deodorant ang bitbit ng napagbintangang si Hope Marco Neri Yutuc. Aniya nilabas niya ito sa bag para malaman na tama ang kanyang bibilhin. Nang makuha ang tamang produkto ay muli nitong ibinalik ang walang lamang deo sa loob ng bag. May resibo at nabayaran pa nito ang biniling item ngunit nanaig ang hinala ng babaeng security kaya hinarang at kinompronta ang mamimiling si Marco. Dismayado man sa nangyari ay pinatunayan nito na wala siyang kinuha at kampanteng binulatlat at ipinakita ang laman ng kanyang bag. Bagamat humingi ng pasensya ang sumitang guwardiya sa kanya ay nagngingitngit pa rin sa galit ang mga netizens dahil sa kahihiyang inabot ng 60-anyos na mamimili. Payo nila, dapat daw ay ireklamo nito ang babaeng civilian guard dahil arogante daw ito at mali na nagbintang agad ng walang sapat na ebidensya. Naiwasan daw sana ang pangyayari kung pagpasok pa lang ay sinuri na nilang maigi ang bag ng mamimili at minarkahan ang deodorant bitbit nito.Wala pa namang napapabalitang sagot sa isyu ang pamunuan ng Puregold Muntinlupa"
0,"Sa bagong video na ibinahagi ni Maegan Aguilar, ipinakita nito ang kanilang bagong tinutuluyan (one bedroom apartment) at mga bagong kagamitan umano nito. Tulong daw ito ng mga naniniwala sa kanya na hindi siya gumagamit ng ipinagbabawal na gamot. Sabay pasaring na pinunan na daw ng mga ito ang hindi naibigay sa kanya ni Senator Raffy Tulfo. Matapos ang isinagawang pagsusuri na nagsabi at nagpatunay na postibo ito sa dr0ga ay muli niyang iginiit na hindi siya gumagamit. Lahat aniya ng mga pagbabago sa kanyang pangangatawan, hitsura at kilos gaya ng pangingig ng kamay ay dahil raw ito sa kanyang sakit. ""If I'm shaking is because of my thyroid so F U! if you think it is drugs."" banat ni Maegan. Tuluyan na ngang napurnada ang pangakong tulong ng programa para sa singer dahil sa resulta ng test pero tila hindi naman na nababahala dito ang anak ni Ka Freddie. ""Sa'yo na pera mo! I don’t need your help I don’t need rehab! If anything I need counselling. That’s what I need. If anything I need a listening ear, a shoulder to cry on. That’s what I need. I don’t need rehab na tuturukan ako ng kung anu-ano, anti-psych0, anti-depr3ssant. It’s not for me, okay."" Nanindigan ito na hindi siya gumagamit at hahayaan na lang ang patuloy na pambabatikos sa kanya ng mga netizens. ""And I don’t care kung ayaw n’yong maniwala, you wanna continue bashing me, go ahead, go ahead. Kasi ang balik sa akin blessings, ang balik sa akin simpatiya at pagmamahal ng mga taong may utak, hindi tulad n’yo."""
0,"Isa sa pinakabigatin at tinitingalang artista ngayon ay ang aktor na si Coco Martin. Nakilala siya dahil sa kanyang husay sa pag-arte, mapa-teleserye man o pelikula. Nagsimula si Coco sa mga indie films at dito siya unang nakilala bilang isang actor at tinaguriang Prince of Indie films hanggang sa makapag-cross-over siya sa telebisyon at ngayon, kilala na bilang ABS-CBN’s Teleserye King. Mas lalo pang nakilala si Coco at kalaunan ay naging palayaw na ang pangalang “Cardo” matapos ang matagumpay na teleseryeng “FPJ’s: Ang Probinsyano” kung saan siya rin ang director. Ang “FPJ’s: Ang Probinsyano”, ay naging daan para sa mga dating artista na makabalik sa mundo ng showbiz. Binigyan sila ni Coco ng pagkakataong muling ipakita ang kanilang talento sa pag-arte. Samantala, hindi lamang sa pag-arte nakilala si Coco dahil hindi maitatanggi ang angkin nitong kakisigan. Kaya naman maraming babae ang nahumaling sa kanya. Isa na ito ay ang dating aktres na si Katherine Luna na nakasama ni Coco sa Indie Film na “Masahista” noong 2005. Naging malapit ang dalawa at sinasabing nagkaroon umano sila ng relasyon. Noong mga panahon na yon rin nabuntis ang aktres."
0,"Si Marvic 'Vic' Castelo Sotto na binansagang 'Bossing' ay itinuturing ng isang legend at institusyon sa industriya. Pagdating sa pagpapatawa at pagho-host ay kung hindi pinaka ay isa sa mga iniidolo ang primyadong aktor na ito mula noon hanggan ngayon. Kaya naman sa haba ng pananatili nito sa pelikula at telebisyon ay hindi na nakapagtataka kung nasaang estado man siya ngayon. Kabilang sa Top 10 Richest Pinoy Celebrity si Bossing at ayon sa mga ulat ay mayroon itong kabuuang yaman na aabot sa 150 million pesos. Mga Ferrari, Audi Q3, Mustang GT, Mitsubishi cars at ilang pang mga mamahaling sasakyan ang pagmamay-ari nito. "
